"id";"name";"trail_id";"subtrail_id";"stage_id";"coordinates";"type";"icon"
1;"STF Abisko Turiststation";1;1;1;"68.3584984201392, 18.78361834658146";"Boende";"http://localhost:3001/images/home-2.png"
2;"Tältplats Nissonjohka";1;1;1;"68.3280618874499, 18.756011803929447";"Tältplats";"http://localhost:3001/images/hotel.png"
3;"Vindskydd Nissonjohka";1;1;1;"68.32754043138694, 18.753616660659045";"Vindskydd";"http://localhost:3001/images/hiking.png"
4;"Dass Abiskojåkka";1;1;1;"68.31021590913035, 18.678778691230864";"Toalett";"http://localhost:3001/images/toilets.png"
5;"STF Abiskojaure Stugorna";1;1;2;"68.2861304549306, 18.591126960373902";"Boende";"http://localhost:3001/images/home-2.png"
6;"Dass Šiellajohka";1;1;2;"68.26216172781754, 18.583229060339487";"Toalett";"http://localhost:3001/images/toilets.png"
7;"Raststuga Rádunjárga / Kungens vindskydd";1;1;2;"68.19461829155716, 18.505342230500524";"Raststuga";"http://localhost:3001/images/hotel.png"
8;"STF Alesjaure Fjällstuga
";1;1;3;"68.13683331785887, 18.414676403329313";"Boende";"http://localhost:3001/images/home-2.png"
9;"STF Tjäktjastugan";1;1;4;"68.05166144189286, 18.24150945366233";"Boende";"http://localhost:3001/images/home-2.png"
10;"Raststuga Tjäktjapasset";1;1;4;"68.019988449813, 18.24805002280692";"Raststuga";"http://localhost:3001/images/hotel.png"
11;"STF Sälka Fjällstuga
";1;1;5;"67.94645761993401, 18.282673793503843";"Boende";"http://localhost:3001/images/hotel.png"
12;"Raststuga Kuoperjåkka / Kebnekåtan";1;1;5;"67.8916879137679, 18.322989743622724";"Raststuga";"http://localhost:3001/images/hotel.png"
13;"STF Singistugan";1;1;6;"67.85105545319729, 18.316004660280868";"Boende";"http://localhost:3001/images/home-2.png"
14;"STF Kebnekaise Fjällstation";1;1;7;"67.86807568361188, 18.620444870846892";"Boende";"http://localhost:3001/images/home-2.png"
15;"Nikkaluokta";1;1;8;"67.85119802073096, 19.01465695625406";"Boende";"http://localhost:3001/images/home-2.png"
16;"STF Storulvån";8;0;1;"63.169109213308175, 12.362915625964286";"Boende";"http://localhost:3001/images/home-2.png"
17;"Spåime Rastskydd";8;0;1;"63.10578582147167, 12.322433382241615";"Raststuga";"http://localhost:3001/images/hotel.png"
18;"STF Sylarnas Fjällstation";8;0;2;"63.04264365356367, 12.273468658860436";"Boende";"http://localhost:3001/images/home-2.png"
19;"Gamla Sylen Rastskydd";8;0;1;"63.059753957108434, 12.27790912134852";"Raststuga";"http://localhost:3001/images/hotel.png"
20;"Enkälens rastskydd";8;0;2;"63.12209656766742, 12.24190954760398";"Raststuga";"http://localhost:3001/images/hotel.png"
21;"STF Blåhammaren Fjällstation";8;0;3;"63.18560791737046, 12.174369347022433";"Boende";"http://localhost:3001/images/home-2.png"
22;"Ulvåtjärnens rastskydd";8;0;3;"63.16077876513811, 12.262798636729162";"Raststuga";"http://localhost:3001/images/hotel.png"
23;"STF Helags Fjällstation
";3;0;1;"62.91706475021104, 12.505985763940421";"Boende";"http://localhost:3001/images/home-2.png"
24;"STF Fjällhornet Resort";3;0;1;"62.899405753797055, 12.72337242408772";"Boende";"http://localhost:3001/images/home-2.png"
25;"Helags";3;0;2;"62.90392580330667, 12.452762019047315";"Berg";"http://localhost:3001/images/peak.png"
26;"Parkering Kläppen";3;0;1;"62.89538735845674, 12.710094544057554";"Parkering";"http://localhost:3001/images/parking.png"
